DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,SUFR_GFAF_TUF,0,2014-03-31,PT,49.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,SUFR_GS_GCF,0,2014-03-31,PT,69.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,AUTR_EXP_SAL,0,2014-03-31,PT,12.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,AUTR_INV_SAL,0,2014-03-31,PT,13.1
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,AUTR_TR_SAL,0,2014-03-31,PT,13.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,CSR_DEB_EQT,0,2014-03-31,PT,39.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,CSR_NFA_TNA,0,2014-03-31,PT,41.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,CSR_NW_TNA,0,2014-03-31,PT,44.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,CSR_STBB_INV,0,2014-03-31,PT,31.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,CSR_TB_EQT,0,2014-03-31,PT,58.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,ER_CRM_TE,0,2014-03-31,PT,54.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,ER_ICR,0,2014-03-31,PT,4.1
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,ER_IP_TE,0,2014-03-31,PT,3.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,ER_RTE_TE,0,2014-03-31,PT,8.8
